特殊陈列拍照,Special display and photo
拍照设置,Photo setting
拍照,Photograph
生日,Birthday
计划时间,Planned time
看板人员情况明细,The situation of the Kanban personnel
自定义控件,Custom control
考勤日历详情,Details of the attendance calendar
是否售卖,Sell or not
新品,New product
最近拜访历史,A recent visit to history
考勤可选拍照,Take photos at the attendance
修改人,Modifier
客户级别,Customer level
查询-所属KA,Query - KA
班次管理,Class management
邮箱,mailbox
成员名称,Member name
查询-经营品牌,Query - business brand
导出,export
传真,Fax
新品有效期,Validity of new products
查询-终端名称,Query - terminal name
单品条码,Single bar code
性别,Sex
产品编码,Product coding
兼职岗位,Part-time job
附件,Enclosure
单品规格,Single product specification
产品名称,Product name
新控件测试,New control test
终端级别,Terminal level
报表终端详情页,Report terminal details page
品项检查,Item examination
广宣物料使用是否达标,Whether the widely used material is used to meet the standard
客户拜访,Customer visit
请选择营销组织,Please choose marketing organization
查询-渠道类型,Query channel type
已选岗位（主岗位）,Selected post (main post)
查询-考勤组名称,Query - attendance group name
下属,subordinate
其他信息,Other information
客户名称,Customer name
请选择状态,Please select the state
请假人,Ask the dummy
终端管理,Terminal management
很差,Very poor
工作日历id,Work calendar ID
总金额,Total amount
导入,Import
客户地址,Customer address
待选岗位,Post selection
品类,category
家庭地址,Home address
提交,Submission
终端生动化检查,Terminal vividness examination
特殊陈列,Special display
终端离店签退,Terminal check-out
列表行定义,List row definition
考勤组管理成员,Attendance group management members
保存,Preservation
文字,Written words
所属供货商,Supplier
临期商品数量,Quantity of goods at the present time
线外拜访,Out of line visit
下属拜访情况,Subordinates' visit
经营品类id,Business category ID
控件标题,Control title
联系人姓名,Contact name
人员明细,Personnel detail
隐藏域,Hidden domain
状态,state
终端简称,Terminal abbreviation
新负责人,New person in charge
是,yes
单品单位,Single unit
保留,Retain
关联状态,Association state
门店名称,Store name
事项处理,Processing of matters
年月,Years
app报表,App Report
很好,very good
已关联,Association
人员数量,Number of personnel
可以信息页面,Information page
岗位,post
时间段值,Time value
签到时间,Sign in time
业务代表,Business representative
堆箱陈列评价,Evaluation of stack box display
帐号关联状态,Account association state
销量,Sales volume
序号,Serial number
订单日期,Order date
业务代表id,Business representative ID
客户管理,customer management
拜访类型,Type of visit
产品包装,Product packaging
固定电话,Fixed telephone
查询-状态,Query - state
所属ka,Ka
是否缺货锁码,Whether or not the shortage lock code
日历,calendar
产品管理页面,Product management page
渠道客户管理详情,Details of channel customer management
分销规格,Distribution specification
考勤必须拍照,Attendance must be photographed
营销区域,Marketing area
渠道客户拜访,Channel customer visit
看板控件,Kanban control
手机号码,Phone number
评价,evaluate
身份证号,ID number
趋势,trend
是否周期拜访,A periodic visit
便捷计划制定,Convenient plan formulation
移除,remove
分销单位,Distribution unit
详细地址,Detailed address
终端级别名称,Terminal level name
请假单Form,Form
部分盘点提交,Submission of part inventory
人员列表页面,Staff list page
组织岗位名称,Organization post name
报表业代终端情况,Report industry generation terminal
终端详情,Terminal details
品项与协议是否一致,Whether the item and the agreement are consistent
岗位名称,Post name
客户ID,Customer ID
客户转移,Customer transfer
拜访管理,Visit management
渠道客户管理变更负责人,Manager of channel customer management change
货架陈列评价,Evaluation of shelf display
考勤记录控件,Attendance record control
价格,Price
销量情况,Sales volume
按钮,Button
经度,longitude
名称,Name
主岗位,Main post
主要岗位,Main post
渠道类型,Channel type
今日,today
微信号,Wechat number
销售组织,Sales organization
产品品牌,Product brand
成员ID,Member ID
考勤日历,Attendance calendar
行政区域,Administrative division
考勤日历控件,Attendance calendar control
产品编号,Product number
报表时间区域折线图,Time area folding chart of report
联系电话,Contact number
报表主管终端详情,Report manager terminal details
请假单列表,List of leave
帐号编码,Account code
主管人员详情,Details of the supervisor
营销组织名称,Name of marketing organization
查询-所属供货商,Inquiries - Suppliers
请输入日历名称,Please enter the calendar name
重点,A key
明细,Detailed
拜访内容,Visiting content
人员姓名,Name of personnel
已拜访数量,Number of visits
价格是否异常,Whether the price is abnormal or not
查询栏,Query bar
终端类型,Terminal type
营销区域名称,Marketing area name
选择状态,Selected state
一般,commonly
KA系统名称,KA system name
终端类型名称,Terminal type name
产品图片,Product picture
单位转换率,Unit conversion rate
联系人手机号,Contact cell phone number
成员,member
否,no
最近拜访记录,Recent visit
手机端表格报表,Mobile phone end table Report
营销区域ID,Marketing area ID
启用,Enable
所属营销组织,Affiliated marketing organization
排序规则,Sort rule
新渠道客户库存盘点,New channel customer inventory inventory
终端ID,Terminal ID
斜杠,Slash
客户id,Customer ID
正常陈列,Normal display
箱,box
渠道客户,Channel customers
客户类型值,Customer type value
请假类型,Type of ask for leave
追加,Append
是否默认班次,The default flight
计划客户数,Planned customer number
个人信息,Personal information
新增渠道客户,New channel customers
转换营销组织,Transformation marketing organization
已拜访客户数,Number of customers visited
移除客户,Remove customers
报表,Report form
单价最大值,Maximum unit price
上月,Last month
渠道销量情况,Channel sales
考勤时间,Attendance time
开始合作时间,Start the cooperation time
查询-终端类型,Query terminal type
排面情况,Layout
字典值,Dictionary value
单价最小值,Minimum unit price
库存数量,Inventory quantity
渠道客户名称,Channel customer name
人员情况汇总,Summary of personnel
成员id,Member ID
经营品类,Business category
条码扫描,barcode scanner
请输入KA系统名称,Please enter the KA system name
是否拜访,Do you visit
面积与协议是否一致,Is the area consistent with the agreement
表格列表,Table list
异常情况,Abnormal condition
纬度,latitude
最近拜访记录,Recent visit
渠道客户id,Channel customer ID
手机端报表表单,Phone end report form
今日任务,Today's task
客户类型,Customer type
新增,Newly added
客户列表分配,Customer list allocation
考勤记录,Attendance Record
姓名,Full name
品牌,brand
店面工作,Storefront work
拜访时间,Visit time
导入导出测试,Import and export test
手机端水平报表,Mobile phone end level report
工作目标,Work goal
创建人,Founder
停用,Discontinuation
库存,Stock
照片,Photo
新增终端客户,New terminal customers
申请时间,Application time
加入计划,Join the plan
新增客户,New customers
终端管理变更负责人,Terminal management change manager
拜访完成率,Visit completion rate
建议零售价,Suggested retail price
客户明细,Customer detail
班次名称,Class name
查询-终端级别,Query terminal level
地址,address
台,platform
门店详情,Store details
入职日期,Date of entry
渠道客户编号,Channel customer number
出勤总人数,Total attendance
行政区域名称,Administrative region name
业务经理,Service Manager
不限,Unlimited
拜访日期,Date of visit
导航管理,Navigation management
删除,delete
排面数量,Number of rows
QQ,QQ
申请日期,Application date
月,month
是否重点终端,Key terminal
应出勤工时,Work hours
请假时长,Long time for leave
考勤状态,Attendance status
考勤组管理,Attendance management
新成交客户,New transaction customer
KA系统类型,KA system type
终端/渠道客户类型,Terminal / channel customer type
联系人手机号码,Contact cell phone number
库存(箱),Inventory (box)
全部覆盖,Full coverage
短号,Short trumpet
本月订货箱数,The number of order boxes in this month
定位地址,Location address
不合格,Unqualified
下单门店,A single store
KA系统编号,KA system number
成员姓名,Name of a member
终端进店签到,Terminal check-in
定位异常拍照,Localize abnormal photo
渠道客户库存盘点,Channel customer inventory inventory
全部盘点提交,Full inventory submission
定位误差,positioning error
定位经纬度,Location of longitude and latitude
生成帐号,Generating account number
标箱系数,The coefficient of the box
报表时间区间,Report time interval
查询-渠道客户名称和负责人,Query - channel customer name and person in charge
经营品牌,Business brand
女,female
男,male
直属上级,Directly subordinate to the superior
重点产品,Key products
排名,ranking
保质时长,Long term of quality
未关联,Unrelated
终端客户,Terminal customer
较好,preferably
营销组织,Marketing organization
终端编码,Terminal coding
报表主管员工情况,Report manager's situation
终端名称,Terminal name
基本信息,Essential information
计划日期,Planned date
表格测试,Table test
正常陈列拍照,Normal display and photo
工号,Work number
终端检查,Terminal inspection
盘点单类型,Inventory type
开始拜访,Start visiting
品相变化,Phase change
考勤组管理详情,Attendance unit management details
经营品牌id,Business brand ID
记录日期,Record date
查询-行政区域,Query Administrative Region
人员管理,Personnel management
办公电话,Office phone
客情整体情况,Overall situation of the guest situation
附加信息,Additional information
列表,list
审批状态,State of approval
查询-营销组织,Query marketing organization
头像,Head portrait
拜访状态,State of visit
年,year
表格列表行定义,Table list row definition
产品简称,Product abbreviations
联系人职位,Contact Title
设置信息,set information
瓶,bottle
合格,qualified
本月,This month
日历名称,Calendar name
渠道客户编码,Channel customer coding
查询-渠道客户类型,Query - channel customer type
负责人,Person in charge
客户类别,Customer category
简单计划制定,Simple plan formulation
班次管理,Class management
手机端多个报表,Multiple reports on the mobile phone
手机号,Cell-phone number
打卡类型,Type of punch card
是否重点产品,Key products
开始时间,start time
客户类别，不显示的,Customer category, not displayed
原有岗位如何处理,How to deal with the original post
所有客户,All customers
正常陈列位置是否达标,Whether the normal display position is up to the standard
未拜访,Not visiting
供货商id,Supplier ID
KA系统管理详情,KA system management details
位置与协议是否一致,Is the position consistent with the agreement
POP广告,POP advertising
移动端请假单,Mobile end please
渠道拜访签退,Channel visit and sign back
请假类型查询条件,Asking for false type query conditions
客户负责人,Customer Manager
正常陈列比例是否达标,Whether the normal display ratio is up to the standard
人员数据,Personnel data
联系人电话,Contact phone
打卡时间,Punch time
堆箱陈列,Box display
人员详情管理,Personnel details management
渠道进店签到,Enter the shop to sign in
报表主管拜访详情页,Report supervisor visit details page
人员id,Personnel ID
盘点日期,Date of inventory
供货方式,Supply mode
综合情况,Comprehensive situation
采集明细,Collection of details
POP广告评价,POP advertising evaluation
包,package
成员岗位,Member positions
今年休息日（天）,This year's rest day (day)
修改,modify
班次管理控件,Control control of class
必铺品项是否遗漏,Whether the paving items are missing
创建时间,Creation time
手机端报表下拉筛选,Mobile phone end report drop-down screening
终端销量情况,Terminal sales
汇总,Summary
已拜访,Have a visit
只显示已修改数据,Only display modified data
是否重点门店,Whether or not the key store
最近拜访时间,Recent visit time
渠道客户管理,Channel customer management
正常陈列高度是否达标,Whether the normal display height is up to the standard
查询-终端编码,Query terminal coding
考勤组类型,Type of attendance group
日期,date
考勤组名称,Name of the attendance group
查询-渠道客户编号,Query - channel customer number
请选择行政区域,Please choose the administrative area
全部,whole
上级客户,parent customer
正常数量,Normal quantity
客户编码,Customer code
广告拍照情况,Advertising photos
分销条码,Distribution bar code
人员,personnel
班次管理详情,Details of class management
手机端时间区间报表,Mobile phone end time interval Report
结束时间,End time
今年工作日（天）,Working day of this year (day)
请输入KA系统编号,Please enter the KA system number
备注,Remarks
品项情况,Item situation
箱重,Box weight
产品单价,Product unit price
请选择数据重复的处理方式,Please select the process of data duplication
渠道客户类型,Channel customer type
保存后生成帐号,Generate account number after saving
修改时间,Modification time
客户详情,Customer details
未拜访数量,Unvisited number
终端客户管理,End customer management
员工考勤明细,Staff attendance
关闭,Close
终端店面工作,Terminal shop
新开客户,New customers
单位,Company
终端管理详情,Terminal management details
是否默认工作日历,Do you default the work calendar
班次,Shift
人员汇总,Personnel summary
KA系统管理,KA system management
货架陈列,Shelf Display
出勤人数,Attendance
我的,My
产品品类,Product category
较差,Poor
所属KA,KA
请选择客户类型,Please select the type of customer
签离时间,Sign off time
请填写客户名称,Please fill in the name of the customer
提交人手机号,Mobile phone number of the author
签到拍照,Sign in and take a picture
拜访小结,Visit a brief summary
签到地址,Sign to address
请选择开始时间,Please choose the start time
提交人,submitter
请填写提交人,Please fill in the author
渠道客户进离,Channel customer advance
请选择结束时间,Please choose the end time
区域,region
请选择营销区域,Please choose the marketing area
在店时长,Long at the store
签离地址,Sign off address
请假单列表,List of leave
今日拜访,Visit today
报表统计,Report statistics
终端列表,Terminal list
测试两行报表,Test two line reports
我的手机订单成功了,My mobile phone order has been successful
成功列表,Success list
app编辑,App editor
保存成功,Save success
终端,terminal
终端列表,Terminal list
测试环境,testing environment
开发环境,development environment
生产环境,production environment
登录,Sign in
选择岗位,Choice of Posts
业务员,Salesman
渠道业务员,Channel salesman
确定,Determine
取消,cancel
工作,work
消息,news
发送队列,Send queue
退出登录,Exit logon
设置语言,Setting language
上传图片,Upload a picture
提交人手机号码,Mobile phone number of the author
拜访采集,Visit and collect
终端进离,Terminal advance
生动化检查,Vividness examination
选择日期,Selection date
考勤明细,Attendance
请选择区域,Please select the area
定位,Location
提交时间,Time of submission
请选择终端级别,Please select terminal level
请选择终端类型,Please select terminal type
请填写终端名称,Please fill in the name of the terminal
货架陈列评分,Shelf display score
堆箱陈列评分,Box display score
请选择所属KA,Please select the KA
POP广告评分,POP advertising score
产品序号,serial number
产品详情管理,Product details management
请选择月份,Please choose month
上级姓名,Superiors' name
排序值,Sort value
请选择结束日期,Please choose the end date
请填写姓名,Please fill in the name
请选择开始日期,Please choose the start date
失效申请,Failure application
请选择渠道类型,Please select the channel type
联系人,Contacts
KA名称,KA name
业务经理id,Business manager ID
查询-业务代表,Query - Business Representative
数字输入,Digital input
考勤管理,Attendance management
考勤控件,Attendance control
渠道类型id,Channel type ID
客户列表排序测试app,Customer list sorting test app
终端分布图,Terminal distribution diagram
店面工作_动态加载,Storefront work dynamic loading
今年休息日,This year's rest day
今年工作日,Working day this year
今年工作日(天),Working day of this year (day)
今年休息日(天),This year's rest day (day)
日历id,Calendar ID
是否工作日,Work day
启用状态,Enabled state
系统配置,system configuration
待办事项,Backlog
帐号管理,Account Management
数据字典,data dictionary
权限组管理,Authority group management
职位管理,Job management
组织管理,Organization and management
测试菜单控制,Test menu control
迟到阀值,Late threshold
是否默认时间段,Whether or not the default time period
签退时间,Sign back time
跨天标志,Cross Day sign
最早打卡时间,The earliest card time
不计工时起始时间,Not counting the starting time of the working hour
不计工时结束时间,Not counting the end of the time of work
出勤工时,Work hours
数据规则,Data rules
看板人员情况汇总,Summary of Kanban personnel
渠道客户最近拜访记录,Channel customers' recent visit records
表单加载行为,Form loading behavior
家庭住址,Home address
出生日期,Date of birth
拼音,Pinyin
考勤定位,Attendance position
拜访计划详情,Visit the details of the plan
临期数量,Amount of time
渠道销量临时摆放,Temporary sales of channel sales
全部客户,All customers
成员编号,Member number
数据字典绑定,Data dictionary binding
报表人员考勤明细,Report staff attendance
状况,status
上班时间,Work shift
下班时间,Closing time
考勤汇总,Attendance summary
客户类别名称,Customer category name
业代客户情况,Industry generation customer situation
新增日期,New date
2000米,2000 meters
1500米,1500 meters
500米,500 meters
1000米,1000 meters
业代拜访情况,Business visit
主管拜访详情,Supervisor to visit details
主管人员考勤,Supervisor's attendance
客户名,Customer name
test_主管终端详情,Test_ supervisor terminal details
占位控件,Occupancy control
终端ID存储,Terminal ID storage
主管终端详情,Terminal details
业代拜访明细页签,Business visit
拜访次数,Number of visits
业代拜访汇总页签,Karma
成交次数,Number of transactions
业代拜访执行表单流,Industry call to execute form flow
年份,Particular year
三月指标值,March index value
十二月指标值,December index value
四月指标值,April index value
六月指标值,June index value
对象姓名,Object name
一月指标值,One month index value
五月指标值,May index value
对象名,Object name
九月指标值,September index value
清除,Eliminate
二月指标值,February index value
八月指标值,August index value
十一月指标值,November index value
年度,year
十月指标值,October index value
人员KPI设置,Staff KPI settings
七月指标值,July index value
拜访执行明细,Visit the execution details
拜访执行明细汇总,Visit the execution of details
KPI指标项,KPI index term
客户编号,Customer number
组织机构名称,Organization name
本周,This week
检查时间,Check time
广告情况拍照,Picture of advertising
终端客户分析,End customer analysis
首页,home page
首页拜访情况(放大),Home visit (enlargement)
首页客户分析(放大),Home page customer analysis (enlargement)
查询-结束时间,Query - end time
查询-开始时间,Query start time
查询-成员姓名,Query - member name
业代拜访执行汇总,Executive summary
业代拜访执行明细,Business visit
编号按钮,Numbered button
人员编辑test,Staff editor test
渠道库存,Channel stock
查询-提交人,Inquire - submitting
产品铺货,Product pavement
是否分销,Whether or not to distribute
查询-营销区域,Query - marketing area
关联岗位,Related posts
请选择,Please choose
昨日,yesterday
上周,Last week
查询-客户名称,Query - customer name
查询-客户类型,Query - customer type
转换,Transformation
考勤统计,Attendance statistics
业代拜访执行客户详情,Business visits to execute customer details
业代拜访执行明细客户详情2,Visit the details of the detailed client 2
业代拜访执行明细客户详情,Visit the details of the detailed client
查询文本,Query text
申请时间,Application time
放弃导入,Give up the import
测试,test
是否将选中的客户转移给其他人负责？,Is the selected customer transferred to another person?
查询-KA系统编号,Query the -KA system number
查询-KA系统名称,Query the name of the -KA system
查询-班次名称,Query - class name
查询-日历名称,Query - Calendar name
查询-开始日期,Query - start date
查询-结束日期,Query - end date
查询-姓名,Query - name
拜访中,Visit
待拜访,Visit
已成交,Have done a deal
已完成,Completed
拜访中,Visit
查询-新品有效期,Query - new period validity
查询-是否重点产品,Query - key products
查询-产品编码,Query product coding
查询-品牌,Query - Brand
查询-品类,Inquiries - Category
查询-产品名称,Query - product name
迟到,Late
定位异常,Abnormality of location
早退,Early retreat
正常,normal
